taxonID	parentNameUsageID	scientificNameID	scientificName	scientificNameAuthorship	namePublishedInYear	CommonName	vernacularName	taxonRankID	taxonRank
6007285	2000333	urn:lsid:dyntaxa.se:Taxon:6007285	Itaquasconinae	Rudescu	1964			12	Subfamily
6007293	2000333	urn:lsid:dyntaxa.se:Taxon:6007293	Pilatobiinae	Bertolani et al.	2014			12	Subfamily
6007182	2000328	urn:lsid:dyntaxa.se:Taxon:6007182	Halechiniscinae	Thulin	1928			12	Subfamily
6007173	2000328	urn:lsid:dyntaxa.se:Taxon:6007173	Styraconyxinae	Kristensen & Renaud-Mornant	1983			12	Subfamily
6007177	2000328	urn:lsid:dyntaxa.se:Taxon:6007177	Tanarctinae	Renaud-Mornant	1980			12	Subfamily
1012919	2000334	urn:lsid:dyntaxa.se:Taxon:1012919	Milnesium	Doyère	1840			14	Genus
6007252	6007251	urn:lsid:dyntaxa.se:Taxon:6007252	Bertolanius	Özdikmen	2008			14	Genus
1013421	2000332	urn:lsid:dyntaxa.se:Taxon:1013421	Calohypsibius	Thulin	1928			14	Genus
1013422	6007260	urn:lsid:dyntaxa.se:Taxon:1013422	Diphascon	Plate	1889			14	Genus
1013424	6007276	urn:lsid:dyntaxa.se:Taxon:1013424	Hypsibius	Ehrenberg	1848			14	Genus
6007286	6007285	urn:lsid:dyntaxa.se:Taxon:6007286	Adropion	Pilato	1987			14	Genus
6007289	6007285	urn:lsid:dyntaxa.se:Taxon:6007289	Astatumen	Pilato	1997			14	Genus
1013426	6007285	urn:lsid:dyntaxa.se:Taxon:1013426	Itaquascon	de Barros	1939			14	Genus
1013427	6007285	urn:lsid:dyntaxa.se:Taxon:1013427	Mesocrista	Pilato	1987			14	Genus
6007290	6007285	urn:lsid:dyntaxa.se:Taxon:6007290	Platicrista	Pilato	1987			14	Genus
6007294	6007293	urn:lsid:dyntaxa.se:Taxon:6007294	Pilatobius	Bertolani et al.	2014			14	Genus
1013428	2000333	urn:lsid:dyntaxa.se:Taxon:1013428	Pseodobiotus					14	Genus
6007298	6007297	urn:lsid:dyntaxa.se:Taxon:6007298	Fractonotus	Pilato	1998			14	Genus
1013423	6007300	urn:lsid:dyntaxa.se:Taxon:1013423	Hebesuncus	Pilato	1987			14	Genus
1013429	6007300	urn:lsid:dyntaxa.se:Taxon:1013429	Ramazzottius	Binda & Pilato	1986			14	Genus
1013425	6007302	urn:lsid:dyntaxa.se:Taxon:1013425	Doryphoribius					14	Genus
1011036	6007302	urn:lsid:dyntaxa.se:Taxon:1011036	Halobiotus	Kristensen	1982			14	Genus
1012918	6007302	urn:lsid:dyntaxa.se:Taxon:1012918	Isohypsibius	Thulin	1928			14	Genus
6007319	6007302	urn:lsid:dyntaxa.se:Taxon:6007319	Thulinius	Bertolani	2003			14	Genus
1012913	2000331	urn:lsid:dyntaxa.se:Taxon:1012913	Macrobiotus	C.A.S.Schultze	1834			14	Genus
1013419	2000331	urn:lsid:dyntaxa.se:Taxon:1013419	Minibiotus	Schuster	1980			14	Genus
6007331	2000331	urn:lsid:dyntaxa.se:Taxon:6007331	Paramacrobiotus	Guidetti et al.	2009			14	Genus
1013420	2000331	urn:lsid:dyntaxa.se:Taxon:1013420	Richtersius	Pilato & Binda	1989			14	Genus
1013418	6007327	urn:lsid:dyntaxa.se:Taxon:1013418	Dactylobiotus	Schuster	1980			14	Genus
6007328	6007327	urn:lsid:dyntaxa.se:Taxon:6007328	Murrayon	Bertolani & Pilato	1988			14	Genus
1011032	2000329	urn:lsid:dyntaxa.se:Taxon:1011032	Batillipes	Schulz	1953			14	Genus
1012912	6007182	urn:lsid:dyntaxa.se:Taxon:1012912	Halechiniscus	Richters	1908			14	Genus
1011033	6007173	urn:lsid:dyntaxa.se:Taxon:1011033	Raiarctus	Renaud-Mornant	1981			14	Genus
1011034	6007177	urn:lsid:dyntaxa.se:Taxon:1011034	Actinarctus	Schulz	1935			14	Genus
6007180	6007177	urn:lsid:dyntaxa.se:Taxon:6007180	Tanarctus	Renaud-Debyser	1959			14	Genus
1011035	6007199	urn:lsid:dyntaxa.se:Taxon:1011035	Echiniscoides	Plate	1888			14	Genus
6007201	2000330	urn:lsid:dyntaxa.se:Taxon:6007201	Bryochoerus	Marcus	1936			14	Genus
1013416	2000330	urn:lsid:dyntaxa.se:Taxon:1013416	Bryodelphax	Thulin	1928			14	Genus
6007204	2000330	urn:lsid:dyntaxa.se:Taxon:6007204	Diploechiniscus	Vicente et al.	2013			14	Genus
1013415	2000330	urn:lsid:dyntaxa.se:Taxon:1013415	Echiniscus	C.A.S.Schultze	1840			14	Genus
6007212	2000330	urn:lsid:dyntaxa.se:Taxon:6007212	Parechiniscus	Cuénot	1926			14	Genus
1013417	2000330	urn:lsid:dyntaxa.se:Taxon:1013417	Pseudechiniscus	Thulin	1911			14	Genus
6007214	2000330	urn:lsid:dyntaxa.se:Taxon:6007214	Testechiniscus	Kristensen	1987			14	Genus
247100	1012919	urn:lsid:dyntaxa.se:Taxon:247100	Milnesium tardigradum	Doyère	1840			17	Species
6007238	1012919	urn:lsid:dyntaxa.se:Taxon:6007238	Milnesium asiaticum	Tumanov	2006			17	Species
6007253	6007252	urn:lsid:dyntaxa.se:Taxon:6007253	Bertolanius smreczynskii	Węglarska	1970			17	Species
